iter	Passed	Remaining
0	0	91
1	2	112
2	3	102
3	4	99
4	5	105
5	6	104
6	7	106
7	9	105
8	10	105
9	11	107
10	13	105
11	14	105
12	15	104
13	16	103
14	17	101
15	19	100
16	20	99
17	21	98
18	22	97
19	24	96
20	25	94
21	26	93
22	27	91
23	28	90
24	29	89
25	30	88
26	32	86
27	33	85
28	34	84
29	35	83
30	37	82
31	38	81
32	39	80
33	40	78
34	41	77
35	42	76
36	44	74
37	45	73
38	46	72
39	47	71
40	48	70
41	49	68
42	50	67
43	51	66
44	52	64
45	54	63
46	55	62
47	56	60
48	57	59
49	58	58
50	59	57
51	60	56
52	61	54
53	62	53
54	63	52
55	65	51
56	66	50
57	67	48
58	68	47
59	70	46
60	71	45
61	72	44
62	73	43
63	74	42
64	76	41
65	77	39
66	78	38
67	79	37
68	81	36
69	82	35
70	83	34
71	84	32
72	85	31
73	87	30
74	88	29
75	89	28
76	90	27
77	91	25
78	92	24
79	94	23
80	95	22
81	96	21
82	97	20
83	99	18
84	100	17
85	101	16
86	102	15
87	103	14
88	104	12
89	105	11
90	107	10
91	108	9
92	109	8
93	111	7
94	112	5
95	113	4
96	114	3
97	115	2
98	116	1
99	117	0
